Organization,Website,Facebook,LinkedIn,Twitter,Pinterest,Organization Description,Programs or Key Initiatives,Program description,Possible Data Set,Open or Closed Data Set,Sector,Sector',Sector Level,Name,Headquarters Street Address,Headquarters City,Headquarters State,Headquarters Zip Code,Headquarters County,Headquarters Country,Region Served,Revenue,Revenue,Budget,NAICS Code,NAICS Definition,NTEE Code,NTEE Definition,Tax ID,Primary Dimension,Primary Componenet,Primary Indicator,SPI Dimension 2,SPI Component 2,SPI Indicator 2,SPI Dimension 3,SPI Component 3,SPI Indicator 3,SPI Dimension 4,SPI Component 4,SPI Indicator 4,SPI Dimension 5,SPI Component 5,SPI Indicator 5,SPI Dimension 6,SPI Component 6,SPI Indicator 6,Notes and Opportunities,Budget/Revenue,Latitude,Longitude
Bunker Hill Community College,http://www.bhcc.edu/,https://www.facebook.com/BHCCBoston,https://www.linkedin.com/edu/school?id=20170,https://twitter.com/BHCCBoston,,"Bunker Hill Community College (BHCC), located in Boston, Massachusetts, is the largest community college in Massachusetts, with approximately 14,000 students enrolled per semester.æ",Core,"BHCC is proud to be the most affordable community college in Massachusetts. We offer more thanæ100 academic programs, including associate degree programs, certificate programs and programs designed to allow students to complete their first two years of a bachelorÍs degree before transferring to a four-year university.","Student demographics, courses of study, achievement, degree completion, college admission and completion ",Closed,Public,Public,State,Massachusetts,250 New Rutherford Avenue,Boston,MA,2129,Suffolk,USA,Boston,,,24053931,,,,,,Opportunity,Access to Advanced Education,Years of tertiary schooling,Opportunity,Access to Advanced Education,Inequality in the attainment of education,Opportunity,Access to Advanced Education,Women's average years in school,,,,,,,,,,,24053931,42.37679,-71.06916
Bunker Hill Community College,http://www.bhcc.edu/,https://www.facebook.com/BHCCBoston,https://www.linkedin.com/edu/school?id=20171,https://twitter.com/BHCCBoston,,"Bunker Hill Community College (BHCC), located in Boston, Massachusetts, is the largest community college in Massachusetts, with approximately 14,000 students enrolled per semester.æ",Single Stop,"Single Stop USA is a major initiative at Bunker Hill Community College, which connects students to state and federal financial resources and local community services. The aim is to help students surmount economic barriers, continue with their education, and move towards economic mobility with the ultimate goal toward ending cycles of poverty.",Students using financial assistance of different kinds,Closed,Public,Public,State,Massachusetts,250 New Rutherford Avenue,Boston,MA,2129,Suffolk,USA,Boston,,,,,,,,,Basic Human Needs,Shelter,Housing support,,,,,,,,,,,,,,,,,,42.37679,-71.06916
Bunker Hill Community College,http://www.bhcc.edu/,https://www.facebook.com/BHCCBoston,https://www.linkedin.com/edu/school?id=20172,https://twitter.com/BHCCBoston,,"Bunker Hill Community College (BHCC), located in Boston, Massachusetts, is the largest community college in Massachusetts, with approximately 14,000 students enrolled per semester.æ",Adult Basic Education & Transition Programs,"The Adult Basic Education & Transitions to College programs are Massachusetts Department of Elementary and Secondary Education (MADESE) grant-funded programs that offer free classes for adults to develop English language proficiency, content skills to acquire the High School Equivalency Credential, and skills to successfully transition to college-level programs.","ABE student achievement, program completion",Closed,Public,Public,State,Massachusetts,250 New Rutherford Avenue,Boston,MA,2129,Suffolk,USA,Boston,,,,,,,,,Foundations of Wellbeing,Access to Basic Knowledge,Adult literacy rate,,,,,,,,,,,,,,,,,,42.37679,-71.06916
Bunker Hill Community College,http://www.bhcc.edu/,https://www.facebook.com/BHCCBoston,https://www.linkedin.com/edu/school?id=20173,https://twitter.com/BHCCBoston,,"Bunker Hill Community College (BHCC), located in Boston, Massachusetts, is the largest community college in Massachusetts, with approximately 14,000 students enrolled per semester.æ",Community Center for Entrepreneurship,"The Community Center for Entrepreneurship is the regionÍs premier resource for urban business development. Our partner network sponsors and fosters business growth both for the student or individual seeking to launch a new business, as well as the small business owner seeking to grow their business to a new level of expansion.",Students in entrepreneurship program,Closed,Public,Public,State,Massachusetts,250 New Rutherford Avenue,Boston,MA,2129,Suffolk,USA,Boston,,,,,,,,,Opportunity,Personal Freedom and Choice,Employment opportunity,,,,,,,,,,,,,,,,,,42.37679,-71.06916
Department of Early Education and Care,http://www.mass.gov/edu/government/departments-and-boards/department-of-early-education-and-care/,https://www.facebook.com/BrainBuildingInProgress/,,https://twitter.com/MassEarlyEdCare,,The Department of Early Education and Care is in charge of early education and childcare initiatives in the state of Massachusetts.,Core,The Department of Early Education and Care is in charge of early education and childcare initiatives in the state of Massachusetts.,Residents in pre-K and in childcare programs,Closed,Public,Public,State,Massachusetts,51 Sleeper Street,Boston,MA,2210,Suffolk,USA,Massachusetts,,,561659356,,,,,,Foundations of Wellbeing,Access to Basic Knowledge,Primary school enrollment,,,,,,,,,,,,,,,,,561659356,42.35252,-71.04850
Department of Early Education and Care,http://www.mass.gov/edu/government/departments-and-boards/department-of-early-education-and-care/,https://www.facebook.com/BrainBuildingInProgress/,,https://twitter.com/MassEarlyEdCare,,The Department of Early Education and Care is in charge of early education and childcare initiatives in the state of Massachusetts.,LEAD: Licensing Education Analytic System,"LEAD is designed to serve as the platform for all licensing transactions and house all licensing related data and information. The LEAD system will be rolled out in phases, and when fully implemented, LEAD will serve as a single platform for all licensing transactions, and will allow providers to apply for licenses and complete licensing transactions online. æPhase One of the LEAD roll-out occurred on June 22, 2016.æ","Early education and childcare center applications, approved applicants",Closed,Public,Public,State,Massachusetts,51 Sleeper Street,Boston,MA,2210,Suffolk,USA,Massachusetts,,,,,,,,,Foundations of Wellbeing,Access to Basic Knowledge,Primary school enrollment,,,,,,,,,,,,,,,,,,42.35252,-71.04850
Department of Early Education and Care,http://www.mass.gov/edu/government/departments-and-boards/department-of-early-education-and-care/,https://www.facebook.com/BrainBuildingInProgress/,,https://twitter.com/MassEarlyEdCare,,The Department of Early Education and Care is in charge of early education and childcare initiatives in the state of Massachusetts.,Preschool Development Grant,"Massachusetts applied for a federal Preschool Development Grant: Expansion Grant award, which provides funding to expand high quality preschool programs in communities across the state.æ The federal Preschool Development Grants competition supports states in building and expanding the delivery of high-quality voluntary preschool programs.æ The Expansion Grant funds are focused on increasing the availability of high-quality preschool programs in targeted communities within a state that will serve as models for expanding preschool to all four-year-olds from low-income families in that state.æ","Early education and childcare center applications, approved applicants",Closed,Public,Public,State,Massachusetts,51 Sleeper Street,Boston,MA,2210,Suffolk,USA,Massachusetts,,,,,,,,,Foundations of Wellbeing,Access to Basic Knowledge,Primary school enrollment,,,,,,,,,,,,,,,,,,42.35252,-71.04850
Department of Early Education and Care,http://www.mass.gov/edu/government/departments-and-boards/department-of-early-education-and-care/,https://www.facebook.com/BrainBuildingInProgress/,,https://twitter.com/MassEarlyEdCare,,The Department of Early Education and Care is in charge of early education and childcare initiatives in the state of Massachusetts.,Financial Assistance for Families,"The Department of Early Education and Care (EEC) provides financial assistance to eligible families seeking care at early education and care or out of school time programs. æFamilies must generally meet income and activity requirements to be eligible for EEC financial assistance. æDue to limited funding, eligible families may be placed on the EEC waiting list for financial assistance until funding becomes available.æ","Program applicants, low-income applicants",Closed,Public,Public,State,Massachusetts,51 Sleeper Street,Boston,MA,2210,Suffolk,USA,Massachusetts,,,,,,,,,Foundations of Wellbeing,Access to Basic Knowledge,Primary school enrollment,,,,,,,,,,,,,,,,,,42.35252,-71.04850
Department of Early Education and Care,http://www.mass.gov/edu/government/departments-and-boards/department-of-early-education-and-care/,https://www.facebook.com/BrainBuildingInProgress/,,https://twitter.com/MassEarlyEdCare,,The Department of Early Education and Care is in charge of early education and childcare initiatives in the state of Massachusetts.,Educator and Provider Support (EPS) Grant,The purpose of the EPS grant is to support pathways that lead educators to degree attainment and increased competency through certificates and credentials; to support providers (programs) in attaining and maintaining accreditation and upward movement on the Massachusetts Quality Rating and Improvement System (QRIS); and to foster a comprehensive professional development system that addresses leadership development and leaders in the field.,Early childhood educator continuing education achievement and outcomes,Closed,Public,Public,State,Massachusetts,51 Sleeper Street,Boston,MA,2210,Suffolk,USA,Massachusetts,,,,,,,,,Opportunity,Personal Freedom and Choice,Employment opportunity,,,,,,,,,,,,,,,,,,42.35252,-71.04850
Department of Early Education and Care,http://www.mass.gov/edu/government/departments-and-boards/department-of-early-education-and-care/,https://www.facebook.com/BrainBuildingInProgress/,,https://twitter.com/MassEarlyEdCare,,The Department of Early Education and Care is in charge of early education and childcare initiatives in the state of Massachusetts.,Quality Rating and Improvement System (QRIS),"The MA QRIS offers guidance to professionals in early education and care and out of school time settings on a path towards quality, recognizing that higher expectations of programs must be matched with increased supports that include a better-articulated career ladder, financial incentives, and professional development and technical assistance, which are grounded in the science of child development.",Quality ratings on early childhood educators,Open,Public,Public,State,Massachusetts,51 Sleeper Street,Boston,MA,2210,Suffolk,USA,Massachusetts,,,,,,,,,Opportunity,Personal Rights,Transparency,,,,,,,,,,,,,,,,,,42.35252,-71.04850
