"","Organization","Website","Sector","Dimension","Component","Indicator","Resources","Latitude","Longitude"
"1","Bunker Hill Community College","http://www.bhcc.edu/","Public","Opportunity","Access to Advanced Education","Years of tertiary schooling",24053931,42.37679,-71.06916
"2","Department of Early Education and Care","http://www.mass.gov/edu/government/departments-and-boards/department-of-early-education-and-care/","Public","Foundations of Wellbeing","Access to Basic Knowledge","Primary school enrollment",561659356,42.35252,-71.0485
"3","Department of Elementary and Secondary Education","http://www.mass.gov/edu/government/departments-and-boards/ese/","Public","Foundations of Wellbeing","Access to Basic Knowledge","Primary school enrollment",6044029290,42.42733,-71.06917
"4","Department of Higher Education","http://www.mass.edu/","Public","Opportunity","Access to Advanced Education","Years of tertiary schooling",151113334,42.35959,-71.06219
"5","Massachusetts College of Art and Design","http://www.massart.edu/#","Public","Opportunity","Access to Advanced Education","Years of tertiary schooling",17201537,42.33694,-71.09934
"6","Office of the Secretary of Education","http://www.mass.gov/edu/","Public","Foundations of Wellbeing","Access to Basic Knowledge","Primary school enrollment",28708829,42.35959,-71.06219
"7","Roxbury Community College","http://www.rcc.mass.edu/","Public","Opportunity","Access to Advanced Education","Years of tertiary schooling",11586669,42.32944,-71.09565
"8","University of Massachusetts","http://www.massachusetts.edu/","Public","Opportunity","Access to Advanced Education","Globally ranked universities",533557373,42.35845,-71.06085
"9","Board of Library Commissioners","http://mblc.state.ma.us/index.php","Public","Foundations of Wellbeing","Access to Basic Knowledge","Adult literacy rate",28603177,42.36551,-71.05873
"10","Center for Health Information and Analysis","http://www.chiamass.gov/","Public","Opportunity","Personal Rights","Transparency",31140523,42.35115,-71.07456
"11","Commission on the Status of Women","http://www.mass.gov/women/","Public","Opportunity","Access to Advanced Education","Women's average years in school",100950,42.36204,-71.06355
"12","Disabled Persons Protection Commission","http://www.mass.gov/dppc/","Public","Opportunity","Personal Freedom and Choice","Disability support",2943391,42.21732,-71.02346
"13","District Attorneys' Association","http://www.mass.gov/mdaa/","Public","Basic Human Needs","Personal Safety","Level of violent crime",7988781,42.36162,-71.06087
"14","Massachusetts Commission Against Discrimination","http://www.mass.gov/mcad/","Public","Opportunity","Tolerance and Inclusion","Discrimination and violence against minorities",5277568,42.35959,-71.06219
"15","Massachusetts Cultural Council","http://www.massculturalcouncil.org/","Public","TBD","TBD","TBD",15035600,42.35038,-71.07095
"16","Massachusetts Gaming Commission","http://massgaming.com/about/","Public","Opportunity","Personal Rights","Transparency",1150000,42.355,-71.05682
"17","Massachusetts Sheriffs' Association","http://www.mass.gov/msa/","Public","Basic Human Needs","Personal Safety","Level of violent crime",379790,42.36122,-71.06805
"18","Office of Campaign and Political Finance","http://www.ocpf.us/","Public","Opportunity","Personal Rights","Transparency",1536196,42.35959,-71.06219
"19","Office of the Attorney General","http://www.mass.gov/ago/","Public","Basic Human Needs","Personal Safety","Level of violent crime",44687795,42.35959,-71.06219
"20","Office of the Child Advocate","http://www.mass.gov/childadvocate/","Public","Basic Human Needs","Nutrition and Basic Medical Care","Child mortality rate",6e+05,42.35959,-71.06219
"21","Office of the Comptroller","http://www.mass.gov/comptroller/","Public","Opportunity","Personal Rights","Transparency",1141560815,42.35959,-71.06219
"22","Office of the Inspector General","http://www.mass.gov/ig/","Public","Opportunity","Personal Freedom and Choice","Corruption",4053782,42.35959,-71.06219
"23","Office of the State Auditor","http://www.mass.gov/auditor/","Public","Opportunity","Personal Freedom and Choice","Corruption",18356279,42.35876,-71.0638
"24","Office of the Treasurer and Receiver-General","http://www.mass.gov/treasury/","Public","Opportunity","Personal Rights","Transparency",2356025706,42.35876,-71.0638
"25","Secretary of the Commonwealth","https://www.sec.state.ma.us/","Public","Opportunity","Personal Rights","Transparency",41702672,42.35959,-71.06219
"26","State Ethics Commission","http://www.mass.gov/ethics/","Public","Opportunity","Personal Freedom and Choice","Corruption",2068969,42.35959,-71.06219
"27","State Lottery Commission","http://www.masslottery.com/","Public","TBD","TBD","TBD",94316823,42.18365,-70.97679
